what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1329496585053
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1329496585053
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1329496585053
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1329496585054
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1329496585061
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1329496585061
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1329496585061
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1329496585061
started,bundle,org.eclipse.wst.common.frameworks,1.2.101.v201107192200,"org.eclipse.wst.common.frameworks",1329496585061
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1329496585061
started,bundle,org.eclipse.wst.common.modulecore,1.2.101.v201108231700,"org.eclipse.wst.common.modulecore",1329496585061
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.200.v201103170332,"org.eclipse.wst.common.project.facet.core",1329496585061
started,bundle,org.eclipse.wst.common.ui,1.1.500.v200911190730,"org.eclipse.wst.common.ui",1329496585061
started,bundle,org.eclipse.wst.jsdt.core,1.1.101.v201108151912,"org.eclipse.wst.jsdt.core",1329496585061
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.300.v201104272153,"org.eclipse.wst.jsdt.manipulation",1329496585062
started,bundle,org.eclipse.wst.jsdt.ui,1.1.101.v201108151912,"org.eclipse.wst.jsdt.ui",1329496585062
started,bundle,org.eclipse.wst.validation,1.2.302.v201107140600,"org.eclipse.wst.validation",1329496585062
started,bundle,org.eclipse.wst.web,1.1.500.v201104251400,"org.eclipse.wst.web",1329496585062
started,bundle,org.eclipse.wst.xml.core,1.1.601.v201108302147,"org.eclipse.wst.xml.core",1329496585062
started,bundle,org.eclipse.m2e.discovery,1.0.100.20110804-1717,"org.eclipse.m2e.discovery",1329496585062
os,sysinfo,,,"linux",1329496585080
arch,sysinfo,,,"x86_64",1329496585081
ws,sysinfo,,,"gtk",1329496585081
locale,sysinfo,,,"en_US",1329496585081
processors,sysinfo,,,"4",1329496585081
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1329496585081
java.runtime.version,sysinfo,,,"1.6.0_22-b22",1329496585081
java.specification.name,sysinfo,,,"Java Platform API Specification",1329496585081
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1329496585081
java.specification.version,sysinfo,,,"1.6",1329496585081
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1329496585081
java.version,sysinfo,,,"1.6.0_22",1329496585081
java.vm.info,sysinfo,,,"mixed mode",1329496585081
java.vm.name,sysinfo,,,"OpenJDK 64-Bit Server VM",1329496585081
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1329496585081
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1329496585081
java.vm.specification.version,sysinfo,,,"1.0",1329496585081
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1329496585081
